id_site;site;id_alat;lat;lon;elevasi;id_provinsi;id_kabupaten;id_kecamatan;date_created;id_user
53032001a;Lapeon;a;-9.49118;124.54406;349;53;5303;530320;2021/01/06 21:19:00;1
53040101a;Weluli;a;-9.11459;125.09042;0;53;5304;530401;2021/01/06 21:19:00;1
53040201a;Wedomu;a;-9.12758;124.98228;383;53;5304;530402;2021/01/06 21:19:00;1
53040202a;Fatulotu;a;-9.11983;124.9796;404;53;5304;530402;2021/01/06 21:19:00;1
53040401a;Nenuk;a;-9.09594;124.89478;328;53;5304;530404;2021/01/06 21:19:00;1
53040402a;Kimbana;a;-9.20884;124.87718;442;53;5304;530404;2021/01/06 21:19:00;1
53040403a;Bakustulama;a;-9.23982;124.89706;506;53;5304;530404;2021/01/06 21:19:00;1
53040501a;Umarese;a;-9.03944;124.8319;50;53;5304;530405;2021/01/06 21:19:00;1
53040502a;Fatukmetan;a;-8.97391;124.92279;10;53;5304;530405;2021/01/06 21:19:00;1
53040601a;Boas;a;-9.41694;124.9064;0;53;5304;530406;2021/01/06 21:19:00;1
53040701a;Wemasa;a;-9.51652;124.98353;3;53;5304;530407;2021/01/06 21:19:00;1
53040702a;Reinawe;a;-9.5168;124.95186;18;53;5304;530407;2021/01/06 21:19:00;1
53040802a;Betun;a;-9.55;124.9;61;53;5304;530408;2021/01/06 21:19:00;1
53040901a;Kaputu;a;-9.55367;124.86365;291;53;5304;530409;2021/01/06 21:19:00;1
53041001a;Besikama;a;-9.62806;124.8664;474;53;5304;530410;2021/01/06 21:19:00;1
53041002a;Berhau;a;-9.67701;124.8968;0;53;5304;530410;2021/01/06 21:19:00;1
53041101a;Biudukfoho;a;-9.60987;124.74088;562;53;5304;530411;2021/01/06 21:19:00;1
53041102a;Haekesak;a;-9.60538;124.74098;542;53;5304;530411;2021/01/06 21:19:00;1
53041301a;Sukabitetek;a;-9.36275;124.90909;657;53;5304;530413;2021/01/06 21:19:00;1
53041401a;Laen Manen;a;-9.41508;124.83148;488;53;5304;530414;2021/01/06 21:19:00;1
53041501a;Hanemasin;a;-9.73966;124.83939;8;53;5304;530415;2021/01/06 21:19:00;1
53041601a;Weliman;a;-9.61784;124.86038;81;53;5304;530416;2021/01/06 21:19:00;1
